tier,site_name,author,city,state,region,operator,best_contact,contact_email,phone,contact_url,online_store,wholesale_notes,fit_notes,melville_line_fits,status,outreach_status,notes
A,Folger Shakespeare Library — Folger Shop,William Shakespeare,Washington,DC,Mid-Atlantic,Folger Shakespeare Library (Amherst College trust),folgershop@folger.edu — dedicated shop email published on the Folger Shop page,folgershop@folger.edu,,https://www.folger.edu/visit/shop,https://shop.folger.edu/,Professionally run in-house shop at the renovated Folger ('The Folger is open!'). Dedicated shop email is the cleanest wholesale pitch path on this whole list; Shakespeare apparel/gifts are their core category.,"The world's largest Shakespeare collection, steps from the Capitol, with major post-renovation visitor volume and a professional retail operation devoted to a single author — one of the best fits on the beat.",,open,,
A,Library of Congress Shop,Multi-author (national literary collections),Washington,DC,Mid-Atlantic,Library of Congress (retail operations),"Email retail@loc.gov (LOC retail operations, per the research sweep; verified alt: visit@loc.gov / 202-707-9779)",retail@loc.gov,202-707-9779,https://www.loc.gov/shop/,https://library-of-congress-shop.myshopify.com/,"Physical shop confirmed operating on the 1st floor of the Jefferson Building (Tue/Wed/Fri/Sat 10-5, Thu 10-8) plus a Shopify online store. Federal-institution retail: expect a formal vendor onboarding process, but very high visitor traffic and a literary-gift assortment that matches author tees.","Millions of visitors annually and a professional product-development/retail team; multi-author, but literary and author-themed gifts are the core of its assortment.",,open,,
A,Planet Word Museum — Present Perfect shop,Multi-author (words and language museum),Washington,DC,Mid-Atlantic,Planet Word (nonprofit),Email support@planetwordmuseum.org (provided contact; site obfuscates emails but museum verified open with first-floor shop),support@planetwordmuseum.org,(202) 931-3139,https://planetwordmuseum.org/visit/,https://shop.planetwordmuseum.org/,Museum open 6 days/week in downtown DC; homepage confirms the first-floor gift shop for 'word nerds' (Present Perfect). Professionally run nonprofit founded by Ann Friedman. Word/language/author-themed tees are squarely on-theme. No separate shop email or online store found.,"Tripadvisor Travelers' Choice-winning downtown DC museum for word lovers; the shop specializes in exactly this niche (bookish socks, pins, literary gifts) and is professionally run — multi-author but squarely on-theme.",,open,,
A,Fenimore Art Museum,James Fenimore Cooper,Cooperstown,NY,Mid-Atlantic,Fenimore Art Museum (founded as NY State Historical Association),"Email info@fenimoreart.org (verified on the museum's contact page, Jan 2026 capture) and ask for the museum shop buyer",info@fenimoreart.org,607-547-1400,https://fenimoreartmuseum.org/contact-us,https://fenimoreartmuseum.org/shop,"Professionally run regional art museum with a Shop section on its site; no dedicated shop email published. High Cooperstown summer tourist traffic. Note their live site is bot-protected, but the museum is fully operating.","Professional museum store with strong Cooperstown tourist volume (Baseball Hall of Fame spillover); caveat — it is an art museum named for Cooper, so author-specific merch is a subset of a broader assortment.",,open,,
A,Strand Book Store,Multi-author (general literary merch),New York,NY,Mid-Atlantic,"Strand Book Store, Inc. (family-owned)",Contact form at strandbooks.com/contact addressed to the merchandise buying team (no buyer email published; main ph 212-473-1452),,212-473-1452,https://www.strandbooks.com/contact,https://www.strandbooks.com/,"NYC institution with a huge house merch program (totes, tees, literary gifts) — professionally staffed buyers and very high traffic, but also the hardest pitch: they favor their own branded merch, so lead with what Strand doesn't make. Vendor pitches go through the contact form/switchboard.","Probably the highest-volume literary-merch retailer in the US that wholesales product in; landing the Strand means real volume, though buyers are selective and the merch program is very professionalized.",,open,,
A,The Morgan Library & Museum — Morgan Shop,"Multi-author (rare books; Dickens, Austen, Twain exhibitions)",New York,NY,Mid-Atlantic,The Morgan Library & Museum,"shop@themorgan.org (dedicated shop email, verified on shop site)",shop@themorgan.org,212-590-0390,https://www.themorgan.org/campus/morgan-shop,https://shop.themorgan.org/,"Professionally run museum retail in-house at a major NYC institution; frequent literary exhibitions (Austen, Poe, Gorey, Dickens). No public vendor-submission page — pitch the shop email directly.",Major Manhattan literary museum with strong visitor volume and a professionally run shop selling gifts for writers and readers; buys author-themed goods around its rotating literary exhibitions.,,open,,
A,The New York Public Library Shop,Multi-author (literary/library brand),New York,NY,Mid-Atlantic,The New York Public Library,"Email libraryshop@nypl.org (verified shop-specific email; separate shop phone 212-930-0641, web orders 212-621-0570)",libraryshop@nypl.org,(212) 930-0641,https://shop.nypl.org/pages/contact-us,https://shop.nypl.org/,Flagship shop in the Stephen A. Schwarzman Building plus large e-commerce operation run by NYPL's own retail team. Very high foot traffic; professionally merchandised literary/author goods are exactly their category. No published vendor-submission process — pitch the shop email directly.,"One of the highest-volume literary gift retailers in the country with a professional buying team; multi-author rather than single-author, but author-themed tees/totes are exactly its core assortment.",,open,,
A,Washington Irving's Sunnyside,Washington Irving,Tarrytown,NY,Mid-Atlantic,Historic Hudson Valley,shop@hudsonvalley.org (verified on the shop's contact-information page),shop@hudsonvalley.org,914-366-6900,https://shop.hudsonvalley.org/pages/about-us,https://shop.hudsonvalley.org/,"Sunnyside tours run seasonally (May–Dec); retail is centralized under Historic Hudson Valley, a large professional org whose shop team buys for Sunnyside and its other historic sites. Physical Sunnyside shop is seasonal; online shop year-round.","Historic Hudson Valley is a large multi-site nonprofit (Sunnyside, Kykuit, Philipsburg Manor) with heavy Sleepy Hollow/Halloween tourist traffic and a professional e-commerce operation that already merchandises Irving by name — one wholesale buyer could stock several sites.",,open,,
A,Brandywine Museum of Art (N.C. Wyeth House & Studio),"N.C. Wyeth (illustrator of Treasure Island, Kidnapped and other children's classics) and the Wyeth family",Chadds Ford,PA,Mid-Atlantic,Brandywine Conservancy & Museum of Art,"Email museum@brandywine.org attn. Rebecca Simpson, Manager of Visitor Services, Admissions & Retail (named on Brandywine's staff directory; retail staff route through this departmental inbox)",museum@brandywine.org,,https://www.brandywine.org/about/staff,https://www.brandywinemuseumshop.org/,Professionally run museum shop with a large active online store (N.C. Wyeth 'Treasure Island'/'Kidnapped' product lines already exist). Retail buying by the Visitor Services/Retail manager. Wyeth imagery is rights-managed — pitch complementary literary items.,"Caveat: a broader American-art museum, but N.C. Wyeth's golden-age children's-classic illustrations are the heart of the collection and his house/studio tours are a headline draw; large professional shop that already merchandises 'homage to American illustration' gifts.",,open,,
A,James A. Michener Art Museum,James A. Michener,Doylestown,PA,Mid-Atlantic,James A. Michener Art Museum,"Email info@michenerartmuseum.org (verified in the museum's site footer, Oct 2025 capture) and ask for the Museum Shop manager",info@michenerartmuseum.org,,https://michenerartmuseum.org/contact-us/,,Professional art museum with a dedicated Museum Shop (under Cafe & Shop). Buying by museum retail staff. Live site aggressively blocks bots — email is the reliable path.,"Well-attended Bucks County art museum named for the Pulitzer-winning novelist (a Doylestown native) with a professionally run shop; caveat — assortment is art-led, so Michener-specific literary merch is a secondary niche.",,open,,
A,Laura Ingalls Wilder Historic Home & Museum (Rocky Ridge Farm),Laura Ingalls Wilder,Mansfield,MO,Midwest,Laura Ingalls Wilder Home Association,Call (877) 924-7126 — no email published on the contact page,,(877) 924-7126 (toll-free),https://lauraingallswilderhome.com/contact/,https://lauraingallswilderhome.com (orders ship year-round),Flagship Wilder pilgrimage site run by the Laura Ingalls Wilder Home Association; open Mar 1-Nov 15 (in season now) with the Rocky Ridge Book Store on grounds and a year-round online store. Professional retail operation; strong fit for Wilder-themed product.,"The farm where the Little House books were actually written; the association's own site warns of 'large visitor numbers,' charges $18 adult admission, and runs professional retail with e-commerce - a top-tier LIW prospect.",,open,,
A,Mark Twain Boyhood Home & Museum,Mark Twain,Hannibal,MO,Midwest,Mark Twain Boyhood Home & Museum (Mark Twain Museum foundation),"Meagan Garey, Visitor Services Manager (gift shop/retail), 573-221-9010 ext. 401; emails are behind staff-profile links, so call or use the contact form addressed to her",,573-221-9010 ext. 401,https://marktwainmuseum.org/contact/,https://marktwainmuseum.org/shop/,"Open daily (summer hours Mar 15–Nov 1); big Hannibal tourist traffic, physical gift shop plus full online store (apparel category already exists). There is a named gift-store manager — the strongest wholesale target on this list.","Anchor prospect for the beat: Hannibal is a national Twain tourism destination, the museum runs three shops with an existing apparel program, and it is a direct sister profile to her proven Melville/Arrowhead customer.",,open,,
A,The Rabbit hOle,"Children's literature authors (multi-author: Goodnight Moon, Alice in Wonderland, etc.)",North Kansas City,MO,Midwest,The Rabbit hOle (nonprofit 'Explor-a-Storium'),Phone 816-492-7915 or site contact form — ask for the bookstore/retail buyer (no email published on the visit page),,816-492-7915,https://www.rabbitholekc.org/visit,https://www.rabbitholekc.org/category/all-products,"Open Tue-Sat 10-5, Sun 12-5; has both an in-house bookstore and a shop with online sales. New (2024) high-profile immersive children's-literature museum with strong attendance — professionally run, and children's-lit character merch is its whole identity. Top-tier prospect.","Buzzy new (2024) immersive children's-literature museum that drew national press and strong attendance; retail (shop + bookstore) is integral to the visit, and author-themed kids/adult apparel fits its whole premise.",,open,,
A,Mystic Seaport Museum,Herman Melville (Moby-Dick / maritime literature),Mystic,CT,New England,Mystic Seaport Museum; store operated by Event Network,"mystic.seaportstore@eventnetwork.com (note: shop site shows this spelling, not 'mysticseaportstore@')",mystic.seaportstore@eventnetwork.com,860-572-5385 (store),https://mysticseaport.org/museum-store/,https://shop.mysticseaport.org/,"Museum open daily; multiple retail locations. Store is operated by Event Network (corporate museum-retail operator) — buying decisions go through the Event Network store team, not museum staff. Event Network also has centralized corporate buyers.","One of New England's biggest maritime attractions (approx. 250,000+ visitors/yr) and home of the Charles W. Morgan, the last wooden whaleship; the store is run by Event Network, a national museum-retail company with formal wholesale buying — a large-volume prospect if the line is accepted.",yes,open,,
A,The Mark Twain House & Museum,Mark Twain (Samuel Clemens),Hartford,CT,New England,The Mark Twain House & Museum (nonprofit),"Email store@marktwainhouse.org (verified on the store's contact page; store office M-F 9:30-4:30 ET, ph 860-280-3136)",store@marktwainhouse.org,860-280-3136,https://marktwainhousestore.org/pages/contact,https://marktwainhousestore.org/,"Open 7 days/wk, 'America's Best House Museum' (Forbes); runs a professional Shopify store with its own wholesale section (marktwainhousestore.org/pages/wholesale), so a dedicated retail team does the buying. Strong fit for author tees.","Flagship national literary destination with a professionally staffed store (dedicated store phone/email, M-F office hours) that already carries an apparel category — an ideal single-author wholesale account. Store is open without a museum ticket, so retail traffic exceeds tour traffic.",,open,,
A,Emily Dickinson Museum (The Homestead and The Evergreens),Emily Dickinson,Amherst,MA,New England,Emily Dickinson Museum (owned by Amherst College),Email info@emilydickinsonmuseum.org (verified on site) and ask to be routed to the shop buyer,info@emilydickinsonmuseum.org,(413) 542-8161,https://www.emilydickinsonmuseum.org/visit/contact/,https://emilydickinsonmuseum.myshopify.com/,"Shop run by the museum itself (owned by Amherst College); active Shopify online store; no published vendor/wholesale policy — pitch through the general email. Advance tour tickets selling through October, so traffic is healthy.",International pilgrimage site (boosted by the 'Dickinson' TV series) with a sophisticated retail program that already does product collaborations — Dickinson is one of the best-selling poets for tees/totes. Amherst College backing means a professional buyer.,,open,,
A,Louisa May Alcott's Orchard House,Louisa May Alcott,Concord,MA,New England,Louisa May Alcott Memorial Association (501(c)(3)),Contact form embedded at louisamayalcott.org (no email published anywhere on site); follow up by phone 978-369-4118,,978-369-4118,https://louisamayalcott.org/,https://louisamayalcott.org/online-store,Curated Museum Store plus own online store; buying done in-house by the Louisa May Alcott Memorial Association (ED Jan Turnquist). No vendor page — pitch via contact form addressed to the Museum Store.,"One of the highest-traffic author homes in the country (Little Women film waves keep visitation high), open year-round with a well-stocked shop of books and artisan goods. A Little Women/Alcott tee-and-tote line is a near-exact repeat of the Arrowhead sale.",,open,,
